date,measurement1,measurement2,user,context1,context2
2019-10-03 04:27:00,9.1,32.0,Eevee,entity3,entity1
2019-10-04 05:30:00,8.866666666666667,15.0,Eevee,entity3,entity1
2019-10-05 04:32:00,8.983333333333334,18.0,Eevee,entity3,entity1
2019-10-09 06:02:00,12.266666666666667,60.0,Eevee,entity3,entity1
2019-10-10 06:20:00,11.4,36.0,Eevee,entity3,entity1
2019-10-11 06:09:00,11.033333333333333,15.0,Eevee,entity3,entity1
2019-10-12 05:37:00,10.95,25.0,Eevee,entity3,entity1
2019-10-13 05:34:00,10.366666666666667,38.0,Eevee,entity3,entity1
2019-10-14 05:28:00,9.916666666666668,17.0,Eevee,entity3,entity1
2019-10-15 03:52:00,9.066666666666666,38.0,Eevee,entity3,entity1
2019-10-16 03:47:00,8.95,18.0,Eevee,entity3,entity1
2019-10-17 06:00:00,10.183333333333334,20.0,Eevee,entity3,entity1
2019-03-05 05:36:00,9.7,29.0,Justin,entity2,entity1
2019-03-07 06:30:00,10.55,29.0,Justin,entity2,entity1
2019-03-08 06:49:00,9.383333333333333,19.0,Justin,entity2,entity1
2019-03-09 08:38:00,12.4,33.0,Justin,entity3,entity2
2019-03-10 09:32:00,3.7666666666666666,17.0,Justin,entity3,entity2
2019-03-11 07:45:00,11.866666666666667,62.0,Justin,entity3,entity1
2019-03-12 06:57:00,10.766666666666667,42.0,Justin,entity2,entity1
2019-03-13 08:28:00,11.15,131.0,Justin,entity2,entity1
2019-03-14 06:50:00,11.866666666666667,26.0,Justin,entity2,entity1
2019-03-15 06:54:00,10.333333333333334,57.0,Justin,entity2,entity1
2019-03-16 07:21:00,10.85,27.0,Justin,entity2,entity1
2019-03-17 08:15:00,10.516666666666667,46.0,Justin,entity2,entity2
2019-03-20 07:36:00,12.016666666666667,31.0,Justin,entity2,entity1
2019-03-21 07:55:00,12.05,69.0,Justin,entity2,entity3
2019-03-22 06:47:00,10.5,25.0,Justin,entity2,entity1
2019-03-23 07:12:00,13.0,66.0,Justin,entity2,entity2
2019-03-24 08:10:00,9.183333333333334,22.0,Justin,entity2,entity3
2019-03-25 06:37:00,10.35,38.0,Justin,entity2,entity1
